"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1994","Poland","Age in completed years","Total","Number","Total","6,907",""
"1994","Portugal","Age in completed years","Total","Number","Total","38,825",""
"1994","Romania","Age in completed years","Total","Number","Total",":",""
"1994","Slovenia","Age in completed years","Total","Number","Total","1,919",""
"1994","Slovakia","Age in completed years","Total","Number","Total","4,922",""
"1994","Finland","Age in completed years","Total","Number","Total","11,611",""
"1994","Sweden","Age in completed years","Total","Number","Total","83,598",""
"1994","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1994","Iceland","Age in completed years","Total","Number","Total","2,676",""
"1994","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1994","Norway","Age in completed years","Total","Number","Total","26,911",""
"1994","Switzerland","Age in completed years","Total","Number","Total","130,188",""
"1995","Belgium","Age in completed years","Total","Number","Total","62,950",""
"1995","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1995","Czechia","Age in completed years","Total","Number","Total","10,540",""
"1995","Denmark","Age in completed years","Total","Number","Total","63,187",""
"1995","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,096,048",""
"1995","Estonia","Age in completed years","Total","Number","Total",":",""
"1995","Ireland","Age in completed years","Total","Number","Total","38,000",""
"1995","Greece","Age in completed years","Total","Number","Total","98,989",""
"1995","Spain","Age in completed years","Total","Number","Total","36,092",""
"1995","France","Age in completed years","Total","Number","Total",":",""
"1995","Croatia","Age in completed years","Total","Number","Total","42,026",""
"1995","Italy","Age in completed years","Total","Number","Total","96,710",""
"1995","Cyprus","Age in completed years","Total","Number","Total",":",""
"1995","Latvia","Age in completed years","Total","Number","Total","2,799",""
"1995","Lithuania","Age in completed years","Total","Number","Total","2,020",""
"1995","Luxembourg","Age in completed years","Total","Number","Total","10,337",""
"1995","Hungary","Age in completed years","Total","Number","Total","15,435",""
"1995","Malta","Age in completed years","Total","Number","Total",":",""
"1995","Netherlands","Age in completed years","Total","Number","Total","96,099",""
"1995","Austria","Age in completed years","Total","Number","Total",":",""
"1995","Poland","Age in completed years","Total","Number","Total","8,121",""
"1995","Portugal","Age in completed years","Total","Number","Total","42,702",""
"1995","Romania","Age in completed years","Total","Number","Total",":",""
"1995","Slovenia","Age in completed years","Total","Number","Total","5,879",""
"1995","Slovakia","Age in completed years","Total","Number","Total","3,055",""
"1995","Finland","Age in completed years","Total","Number","Total","12,222",""
"1995","Sweden","Age in completed years","Total","Number","Total","45,887",""
"1995","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1995","Iceland","Age in completed years","Total","Number","Total","2,867",""
"1995","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1995","Norway","Age in completed years","Total","Number","Total","25,678",""
"1995","Switzerland","Age in completed years","Total","Number","Total","113,967",""
"1996","Belgium","Age in completed years","Total","Number","Total","61,522",""
"1996","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1996","Czechia","Age in completed years","Total","Number","Total","10,857",""
"1996","Denmark","Age in completed years","Total","Number","Total","54,445",""
"1996","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","959,691",""
"1996","Estonia","Age in completed years","Total","Number","Total",":",""
"1996","Ireland","Age in completed years","Total","Number","Total","39,000",""
"1996","Greece","Age in completed years","Total","Number","Total","95,585",""
"1996","Spain","Age in completed years","Total","Number","Total","29,895",""
"1996","France","Age in completed years","Total","Number","Total",":",""
"1996","Croatia","Age in completed years","Total","Number","Total","44,596",""
"1996","Italy","Age in completed years","Total","Number","Total","171,967",""
"1996","Cyprus","Age in completed years","Total","Number","Total",":",""
"1996","Latvia","Age in completed years","Total","Number","Total","2,747",""
"1996","Lithuania","Age in completed years","Total","Number","Total","3,025",""
"1996","Luxembourg","Age in completed years","Total","Number","Total","10,027",""
"1996","Hungary","Age in completed years","Total","Number","Total","14,984",""
"1996","Malta","Age in completed years","Total","Number","Total",":",""
"1996","Netherlands","Age in completed years","Total","Number","Total","108,749",""
"1996","Austria","Age in completed years","Total","Number","Total","69,930",""
"1996","Poland","Age in completed years","Total","Number","Total","8,186",""
"1996","Portugal","Age in completed years","Total","Number","Total","51,656",""
"1996","Romania","Age in completed years","Total","Number","Total",":",""
"1996","Slovenia","Age in completed years","Total","Number","Total","9,495",""
"1996","Slovakia","Age in completed years","Total","Number","Total","2,477",""
"1996","Finland","Age in completed years","Total","Number","Total","13,294",""
"1996","Sweden","Age in completed years","Total","Number","Total","39,895",""
"1996","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1996","Iceland","Age in completed years","Total","Number","Total","3,664",""
"1996","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1996","Norway","Age in completed years","Total","Number","Total",":",""
"1996","Switzerland","Age in completed years","Total","Number","Total","97,591",""
"1997","Belgium","Age in completed years","Total","Number","Total","58,849",""
"1997","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1997","Czechia","Age in completed years","Total","Number","Total","12,880",""
"1997","Denmark","Age in completed years","Total","Number","Total","50,105",""
"1997","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","840,633",""
"1997","Estonia","Age in completed years","Total","Number","Total",":",""
"1997","Ireland","Age in completed years","Total","Number","Total","45,625",""
"1997","Greece","Age in completed years","Total","Number","Total","113,477",""
"1997","Spain","Age in completed years","Total","Number","Total","57,877",""
"1997","France","Age in completed years","Total","Number","Total",":",""
"1997","Croatia","Age in completed years","Total","Number","Total","52,343",""
"1997","Italy","Age in completed years","Total","Number","Total","162,857",""
"1997","Cyprus","Age in completed years","Total","Number","Total",":",""
"1997","Latvia","Age in completed years","Total","Number","Total","2,913",""
"1997","Lithuania","Age in completed years","Total","Number","Total","2,536",""
"1997","Luxembourg","Age in completed years","Total","Number","Total","10,423",""
"1997","Hungary","Age in completed years","Total","Number","Total","14,442",""
"1997","Malta","Age in completed years","Total","Number","Total",":",""
"1997","Netherlands","Age in completed years","Total","Number","Total","109,860",""
"1997","Austria","Age in completed years","Total","Number","Total","70,122",""
"1997","Poland","Age in completed years","Total","Number","Total","8,426",""
"1997","Portugal","Age in completed years","Total","Number","Total","59,875",""
"1997","Romania","Age in completed years","Total","Number","Total",":",""
"1997","Slovenia","Age in completed years","Total","Number","Total","7,889",""
"1997","Slovakia","Age in completed years","Total","Number","Total","2,303",""
"1997","Finland","Age in completed years","Total","Number","Total","13,564",""
"1997","Sweden","Age in completed years","Total","Number","Total","44,818",""
"1997","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1997","Iceland","Age in completed years","Total","Number","Total","3,990",""
"1997","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1997","Norway","Age in completed years","Total","Number","Total","31,957",""
"1997","Switzerland","Age in completed years","Total","Number","Total","91,687",""
"1998","Belgium","Age in completed years","Total","Number","Total","83,812",""
"1998","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1998","Czechia","Age in completed years","Total","Number","Total",":",""
