"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2017","Romania","Age in completed years","Total","Number","Total","177,435","e"
"2017","Slovenia","Age in completed years","Total","Number","Total","18,808",""
"2017","Slovakia","Age in completed years","Total","Number","Total","7,188","p"
"2017","Finland","Age in completed years","Total","Number","Total","31,797",""
"2017","Sweden","Age in completed years","Total","Number","Total","144,489",""
"2017","United Kingdom","Age in completed years","Total","Number","Total","644,209",""
"2017","Iceland","Age in completed years","Total","Number","Total","12,116",""
"2017","Liechtenstein","Age in completed years","Total","Number","Total","645",""
"2017","Norway","Age in completed years","Total","Number","Total","53,351",""
"2017","Switzerland","Age in completed years","Total","Number","Total","143,377",""
