"TIME","GEO","INDIC_DE","Value"
"1962","Czechia","Live births - total","133,557"
"1962","Czechia","Deaths - total","104,318"
"1962","Denmark","Average population - total","4,647,727"
"1962","Denmark","Live births - total","77,808"
"1962","Denmark","Deaths - total","45,334"
"1962","Germany (until 1990 former territory of the FRG)","Average population - total","56,918,197"
"1962","Germany (until 1990 former territory of the FRG)","Live births - total","1,018,552"
"1962","Germany (until 1990 former territory of the FRG)","Deaths - total","644,819"
"1962","Germany including former GDR","Average population - total","74,025,784"
"1962","Germany including former GDR","Live births - total","1,316,534"
"1962","Germany including former GDR","Deaths - total","878,814"
"1962","Estonia","Average population - total","1,241,623"
"1962","Estonia","Live births - total","19,959"
"1962","Estonia","Deaths - total","13,495"
"1962","Ireland","Average population - total","2,836,050"
"1962","Ireland","Live births - total","61,782"
"1962","Ireland","Deaths - total","33,838"
"1962","Greece","Average population - total","8,448,233"
"1962","Greece","Live births - total","152,297"
"1962","Greece","Deaths - total","66,554"
"1962","Spain","Average population - total","31,023,366"
"1962","Spain","Live births - total","655,829"
"1962","Spain","Deaths - total","271,373"
"1962","France","Average population - total",":"
"1962","France","Live births - total",":"
"1962","France","Deaths - total",":"
"1962","France (metropolitan)","Average population - total","46,997,703"
"1962","France (metropolitan)","Live births - total","828,920"
"1962","France (metropolitan)","Deaths - total","541,147"
"1962","Croatia","Average population - total","4,196,712"
"1962","Croatia","Live births - total","72,267"
"1962","Croatia","Deaths - total","42,134"
"1962","Italy","Average population - total","50,879,450"
"1962","Italy","Live births - total","937,257"
"1962","Italy","Deaths - total","509,174"
"1962","Cyprus","Average population - total","577,400"
"1962","Cyprus","Live births - total","14,787"
"1962","Cyprus","Deaths - total","6,101"
"1962","Latvia","Average population - total","2,181,586"
"1962","Latvia","Live births - total","35,061"
"1962","Latvia","Deaths - total","23,592"
"1962","Lithuania","Average population - total","2,863,350"
"1962","Lithuania","Live births - total","59,728"
"1962","Lithuania","Deaths - total","24,925"
"1962","Luxembourg","Average population - total","320,750"
"1962","Luxembourg","Live births - total","5,137"
"1962","Luxembourg","Deaths - total","4,037"
"1962","Hungary","Average population - total","10,060,825"
"1962","Hungary","Live births - total","130,053"
"1962","Hungary","Deaths - total","108,273"
"1962","Malta","Average population - total","323,900"
"1962","Malta","Live births - total","7,513"
"1962","Malta","Deaths - total","2,840"
"1962","Netherlands","Average population - total","11,805,689"
"1962","Netherlands","Live births - total","246,150"
"1962","Netherlands","Deaths - total","93,558"
"1962","Austria","Average population - total","7,129,864"
"1962","Austria","Live births - total","133,253"
"1962","Austria","Deaths - total","90,854"
"1962","Poland","Average population - total","30,308,500"
"1962","Poland","Live births - total","599,505"
"1962","Poland","Deaths - total","239,199"
"1962","Portugal","Average population - total","8,993,985"
"1962","Portugal","Live births - total","220,200"
"1962","Portugal","Deaths - total","96,864"
"1962","Romania","Average population - total","18,676,550"
"1962","Romania","Live births - total","301,985"
"1962","Romania","Deaths - total","172,429"
"1962","Slovenia","Average population - total","1,603,649"
"1962","Slovenia","Live births - total","29,035"
"1962","Slovenia","Deaths - total","15,866"
"1962","Slovakia","Average population - total","4,238,188"
"1962","Slovakia","Live births - total","83,899"
"1962","Slovakia","Deaths - total","34,398"
"1962","Finland","Average population - total","4,491,443"
"1962","Finland","Live births - total","81,454"
"1962","Finland","Deaths - total","42,889"
"1962","Sweden","Average population - total","7,561,588"
