"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1993","Sweden","Total","Age in completed years","Number","Total","29,874",""
"1993","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1993","Iceland","Total","Age in completed years","Number","Total","2,901",""
"1993","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1993","Norway","Total","Age in completed years","Number","Total","18,903",""
"1993","Switzerland","Total","Age in completed years","Number","Total","105,025",""
"1993","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1993","Belarus","Total","Age in completed years","Number","Total",":",""
"1993","Moldova","Total","Age in completed years","Number","Total",":",""
"1993","Russia","Total","Age in completed years","Number","Total",":",""
"1993","San Marino","Total","Age in completed years","Number","Total",":",""
"1993","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1993","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1993","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1993","Armenia","Total","Age in completed years","Number","Total",":",""
"1993","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1994","Belgium","Total","Age in completed years","Number","Total","36,530",""
"1994","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1994","Czechia","Total","Age in completed years","Number","Total",":",""
"1994","Denmark","Total","Age in completed years","Number","Total","34,710",""
"1994","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","767,555",""
"1994","Estonia","Total","Age in completed years","Number","Total","9,063",""
"1994","Ireland","Total","Age in completed years","Number","Total","33,525",""
"1994","Greece","Total","Age in completed years","Number","Total","46,813",""
"1994","Spain","Total","Age in completed years","Number","Total",":",""
"1994","France","Total","Age in completed years","Number","Total",":",""
"1994","Croatia","Total","Age in completed years","Number","Total","10,163",""
"1994","Italy","Total","Age in completed years","Number","Total","65,548",""
"1994","Cyprus","Total","Age in completed years","Number","Total",":",""
"1994","Latvia","Total","Age in completed years","Number","Total","25,869",""
"1994","Lithuania","Total","Age in completed years","Number","Total","25,859",""
"1994","Luxembourg","Total","Age in completed years","Number","Total","6,141",""
"1994","Hungary","Total","Age in completed years","Number","Total",":",""
"1994","Malta","Total","Age in completed years","Number","Total",":",""
"1994","Netherlands","Total","Age in completed years","Number","Total","53,579",""
"1994","Austria","Total","Age in completed years","Number","Total",":",""
"1994","Poland","Total","Age in completed years","Number","Total","25,904",""
"1994","Portugal","Total","Age in completed years","Number","Total","14,552",""
"1994","Romania","Total","Age in completed years","Number","Total",":",""
"1994","Slovenia","Total","Age in completed years","Number","Total","983",""
"1994","Slovakia","Total","Age in completed years","Number","Total","154",""
"1994","Finland","Total","Age in completed years","Number","Total","8,672",""
"1994","Sweden","Total","Age in completed years","Number","Total","32,661",""
"1994","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1994","Iceland","Total","Age in completed years","Number","Total","3,436",""
"1994","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1994","Norway","Total","Age in completed years","Number","Total","19,475",""
"1994","Switzerland","Total","Age in completed years","Number","Total","99,305",""
"1994","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1994","Belarus","Total","Age in completed years","Number","Total",":",""
"1994","Moldova","Total","Age in completed years","Number","Total",":",""
"1994","Russia","Total","Age in completed years","Number","Total",":",""
"1994","San Marino","Total","Age in completed years","Number","Total",":",""
"1994","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1994","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1994","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1994","Armenia","Total","Age in completed years","Number","Total",":",""
"1994","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1995","Belgium","Total","Age in completed years","Number","Total","36,044",""
"1995","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1995","Czechia","Total","Age in completed years","Number","Total",":",""
"1995","Denmark","Total","Age in completed years","Number","Total","34,630",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","698,113",""
"1995","Estonia","Total","Age in completed years","Number","Total","9,460",""
"1995","Ireland","Total","Age in completed years","Number","Total","31,675",""
"1995","Greece","Total","Age in completed years","Number","Total","47,967",""
"1995","Spain","Total","Age in completed years","Number","Total",":",""
"1995","France","Total","Age in completed years","Number","Total",":",""
"1995","Croatia","Total","Age in completed years","Number","Total","15,413",""
"1995","Italy","Total","Age in completed years","Number","Total","43,303",""
"1995","Cyprus","Total","Age in completed years","Number","Total",":",""
"1995","Latvia","Total","Age in completed years","Number","Total","16,512",""
